molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL69451,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1,active,92.0
CHEMBL71327,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccccc1,active,16.1
CHEMBL71865,O=C(NC/C=C\CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccccc1,active,7.49
CHEMBL180060,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(I)cc1,active,162.0
CHEMBL370713,COc1ccc(C(=O)NC/C=C/CN2CCN(c3cccc(Cl)c3Cl)CC2)cc1,active,61.8
CHEMBL194493,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc([N+](=O)[O-])cc1,active,13.8
CHEMBL195057,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(O)cc1,active,8.29
CHEMBL366904,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2o1,active,111.0
CHEMBL175734,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2s1,active,254.0
CHEMBL180010,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1,active,80.9
CHEMBL300780,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)Cc1ccccc1-2,intermediate,1280.0
CHEMBL301242,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2=O,active,35.6
CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,active,9.0
CHEMBL1255588,CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1,active,8.9
CHEMBL277120,c1ccc2c(N3CCNCC3)cccc2c1,active,1000.0
CHEMBL54786,O=C1Cc2cc(CCN3CCN(c4cccc5ccccc45)CC3)ccc2N1,active,44.0
CHEMBL708,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,active,5.0
CHEMBL69584,O=C(CN1CCN(Cc2ccc(Cl)cc2)CC1)N1CCc2ccccc21,active,690.0
CHEMBL107742,Cc1ccc(CN2CCN(CC(=O)N3c4ccccc4CC3C)CC2)cc1,active,188.0
CHEMBL320597,Cc1ccc(CN2CCN(CC(=O)N3c4ccccc4C[C@H]3C)CC2)cc1,active,113.0
CHEMBL198949,CC(=O)Nc1cc(Cl)ccc1/C=C/C(=O)N1CCN(Cc2ccc(F)cc2)C[C@H]1C,active,1000.0
CHEMBL34291,COc1cc(N)c(Cl)cc1C(=O)NC[C@@H]1CCN2CCC[C@@H]12,inactive,10000.0
CHEMBL383577,Cn1nc(C(=O)OC[C@@H]2CCN3CCC[C@@H]23)c2ccccc21,inactive,10000.0
CHEMBL201878,O=C(OC[C@@H]1CCN2CCC[C@@H]12)c1[nH]nc2ccccc12,inactive,10000.0
CHEMBL201946,O=C(OC[C@@H]1CCN2CCC[C@@H]12)c1c[nH]c2ccccc12,inactive,10000.0
CHEMBL201621,COc1cc(N)c(Cl)cc1C(=O)OC[C@@H]1CCN2CCC[C@@H]12,inactive,10000.0
CHEMBL201019,CCOc1cc(N)c(Cl)cc1C(=O)NC[C@@H]1CCN2CCC[C@@H]12,intermediate,5300.0
CHEMBL37333,COc1cc(N)c(Cl)cc1C(=O)NC[C@H]1CCN2CCC[C@H]12,intermediate,3900.0
CHEMBL2448165,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1C2CC3CN(C2)CC31,inactive,10000.0
